Dự án/ khu,Số,Ngõ,Đường/Phố,Xã/ Phường/ Thị trấn,Quận/Huyện,Diện tích(m2),Giá (tỷ đồng),Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet
Vinhomes D'Capitale,,,Trần Duy Hưng,Trung Hòa,Cầu Giấy,38,1.6,Đông - Nam,Đông - Nam,1,1
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,28,1.1,Tây - Bắc,Đông - Nam,1,1
One 18 Ngọc Lâm,19,298,Ngọc Lâm,Ngọc Lâm,Long Biên,104,3.8,,,3,2
Iris Garden,30,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,103,4,Tây - Bắc,Đông - Nam,3,2
Times City,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,87,4.3,,,2,
Nhà ở xã hội Him Lam Thượng Thanh,,,,Thượng Thanh,Long Biên,63,1.1,Tây - Bắc,Đông - Nam,2,2
Iris Garden,,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,61.5,2.4,Đông - Nam,,2,2
Park View City,,,Vũ Phạm Hàm,Yên Hòa,Cầu Giấy,197,9.5,,,4,
Thăng Long Number One,,,,Trung Hòa,Cầu Giấy,117,3.8,,,3,
New Skyline,,,,Văn Quán,Hà Đông,98,3.7,,,3,2
Gelexia Riverside,885,,Tam Trinh,Yên Sở,Hoàng Mai,68,2.15,,,2,2
Hateco Laroma,,,Huỳnh Thúc Kháng,Láng Thượng,Đống Đa,86.55,7.32,Đông - Bắc,Tây - Nam,3,2
Golden Park Tower,2,,Phạm Văn Bạch,Yên Hòa,Cầu Giấy,226.5,11.934,Tây - Nam,Đông - Bắc,5,4
,,,Nghĩa Tân,Nghĩa Tân,Cầu Giấy,80,1.65,,,2,2
Eurowindow Multi Complex,,,Trần Duy Hưng,Trung Hòa,Cầu Giấy,100,4.8,Đông - Nam,,3,2
Chung cư Viện 103,,,Yên Xá,Tân Triều,Thanh Trì,106.8,2.25,Tây - Nam,Đông - Nam,2,2
HUD3 Nguyễn Đức Cảnh,,,Nguyễn Đức Cảnh,Tương Mai,Hoàng Mai,76.4,3.1,,Nam,2,2
K35 Tân Mai,,,Tân Mai,Tương Mai,Hoàng Mai,86,3.2,,Đông,2,2
Vinhomes West Point,,,Phạm Hùng,Mễ Trì,Nam Từ Liêm,135,6.3,Tây - Bắc,Đông - Nam,3,2
Eco City Việt Hưng,,,,Giang Biên,Long Biên,77,2.5,Tây - Bắc,Đông - Nam,2,2
Hòa Bình Green City,505,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,70,2.8,,Nam,2,2
Sunshine Garden,,,Dương Văn Bé,Vĩnh Tuy,Hai Bà Trưng,70,3,,,,
Imperia Sky Garden,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,87,3.7,,Nam,3,2
Green Pearl 378 Minh Khai,378,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,76,3.8,Tây - Bắc,Đông - Nam,2,2
173 Xuân Thủy,,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,110,4.4,Nam,Tây - Bắc,3,2
M3 - M4 Nguyễn Chí Thanh,,,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,114,4.8,,,3,2
Sudico Mỹ Đình,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,132,3.3,Đông - Nam,Tây - Nam,3,2
Home City - Trung Kính Complex,,,Trung Kính,Yên Hòa,Cầu Giấy,100,5.5,,,3,2
Rainbow Linh Đàm,,,,Hoàng Liệt,Hoàng Mai,90.5,3.48,Đông - Bắc,Tây - Nam,3,2
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,101,6.4,Đông - Nam,Tây - Bắc,3,
Eco City Việt Hưng,,,,Giang Biên,Long Biên,63,2.25,,,2,2
The Matrix One,,,Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,87,4.7,Tây,Đông - Bắc,2,3
Home City - Trung Kính Complex,,,Trung Kính,Yên Hòa,Cầu Giấy,58.61,3.3,Đông - Nam,Đông - Bắc,2,2
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,126,7.2,Đông - Bắc,Tây - Nam,3,2
M5 Nguyễn Chí Thanh,,,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,149,6.1,,,3,
HC Golden City,,,Hồng Tiến,Bồ Đề,Long Biên,82,3.9,,Đông - Bắc,3,2
6th Element,,,,Xuân La,Tây Hồ,87,4.5,,,2,2
C14 - Bộ Công An,,,Tố Hữu,Trung Văn,Nam Từ Liêm,132,4,,,3,
Eco Green City,,,Nguyễn Xiển,Tân Triều,Thanh Trì,67,2.4,Tây - Bắc,Đông - Nam,2,
Green Pearl 378 Minh Khai,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,140,7.5,,,,
Rose Town,79,,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,70,2.6,Tây - Nam,Đông - Bắc,2,2
Discovery Complex,,,Cầu Giấy,Dịch Vọng,Cầu Giấy,190,11.8,,,3,3
Trung Hòa Nhân Chính,,,Lê Văn Lương,Trung Hòa,Cầu Giấy,80,2.5,Đông - Nam,Tây - Bắc,3,2
The Zen Residence,,,Pháp Vân,Trần Phú,Hoàng Mai,106,4.75,,,3,2
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,170,12,,,4,
The Zen Residence,,,Pháp Vân,Trần Phú,Hoàng Mai,99,4.2,,,3,
The Zen Residence,,,Pháp Vân,Trần Phú,Hoàng Mai,55,2.4,,,2,1
Keangnam,,,Phạm Hùng,Mễ Trì,Nam Từ Liêm,118,5.31,Tây - Bắc,Đông - Nam,3,2
The One Residence - Gamuda Garden,,,Pháp Vân,Yên Sở,Hoàng Mai,80,2.95,,,3,2
The One Residence - Gamuda Garden,,,Pháp Vân,Trần Phú,Hoàng Mai,100,4.4,,,3,2
Thăng Long Number One,,,,Trung Hòa,Cầu Giấy,117,4.45,Đông - Nam,Tây - Bắc,3,2
,,,,Mỗ Lao,Hà Đông,51,1.3,Tây - Bắc,Đông - Nam,2,1
KĐTM Dương Nội,,,Tố Hữu,Dương Nội,Hà Đông,62,1.748,,,2,
Nhà ở cho CBCS Bộ Công an,,,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,70,2.65,,,2,
Iris Garden,30,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,59.5,2.4,Tây - Bắc,Đông - Nam,2,2
Thăng Long Number One,,,,Trung Hòa,Cầu Giấy,117,4.45,Tây - Bắc,Đông - Nam,3,2
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,110,4.9,Tây - Bắc,Đông - Nam,2,2
Nhà ở cho CBCS Bộ Công an,,,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,70,2.85,Tây,Nam,2,2
The Pride,,,Tố Hữu,La Khê,Hà Đông,146,3.5,Đông - Nam,Tây - Bắc,3,3
PentStudio,,699,Lạc Long Quân,Phú Thượng,Tây Hồ,76,4.8,,,1,
ĐTM Dịch Vọng,,,Thành Thái,Dịch Vọng,Cầu Giấy,120,4.5,,,3,
Dolphin Plaza,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,171,5.59,Tây - Bắc,Đông - Nam,4,3
Dolphin Plaza,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,198,6.99,Đông - Nam,Tây - Nam,4,3
Stellar Garden,35,,Lê Văn Thiêm,Nhân Chính,Thanh Xuân,91.2,3.9,Tây - Nam,Đông - Bắc,3,2
M3 - M4 Nguyễn Chí Thanh,,,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,97,4.15,,,3,
Chelsea Park,,,Trung Kính,Yên Hòa,Cầu Giấy,128,4.99,,,3,
Hà Nội Melody Residences,,,Bằng A,Hoàng Liệt,Hoàng Mai,68,2.18,Đông - Nam,Tây - Bắc,2,2
Golden Park Tower,,,Phạm Văn Bạch,Yên Hòa,Cầu Giấy,96,5.35,,,3,
Hà Nội Melody Residences,,,Bằng A,Hoàng Liệt,Hoàng Mai,68,2.364,Đông - Nam,Tây - Bắc,2,2
Sông Hồng Park View,165,,Thái Hà,Láng Hạ,Đống Đa,110,4.7,Đông - Nam,,3,2
Anland Premium,,,Tố Hữu,Dương Nội,Hà Đông,85,3.5,Đông - Nam,Tây - Bắc,3,
Golden Palace,,,Mễ Trì,Mễ Trì,Nam Từ Liêm,120,4.68,Nam,Bắc,3,2
Iris Garden,,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,62,2.49,Tây - Nam,Đông - Bắc,2,2
ĐTM Dịch Vọng,,,Thành Thái,Dịch Vọng,Cầu Giấy,86,3.35,,,2,
Goldmark City,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,69.1,2.7,,,2,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,31,0.88,Đông - Nam,Đông - Nam,1,
Anland Premium,,,Tố Hữu,Dương Nội,Hà Đông,85,3.3,Tây - Bắc,Đông - Nam,3,
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,97,4.95,Tây - Nam,Đông - Bắc,3,2
Gelexia Riverside,,727 - 885,Tam Trinh,Yên Sở,Hoàng Mai,65,2.2,,,2,
Goldmark City,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,94,3.9,,,3,2
Eco Lake View,32,,Đại Từ,Đại Kim,Hoàng Mai,96,3.6,Đông - Nam,Tây - Bắc,3,2
C14 - Bộ Công An,,,Tố Hữu,Trung Văn,Nam Từ Liêm,132,3.5,Tây - Bắc,Đông - Nam,3,3
Imperia Sky Garden,423,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,75,3.65,Tây - Nam,Đông - Bắc,2,2
Khu Ngoại Giao Đoàn,,,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,95,5,,,,
Hinode City,,,Minh Khai,Minh Khai,Hai Bà Trưng,110,6.5,,,3,2
Học Viện Quốc Phòng,,,Hoàng Quốc Việt,Xuân La,Tây Hồ,136,4.6,,,3,2
Helios Tower 75 Tam Trinh,,,Tam Trinh,Mai Động,Hoàng Mai,65,2.85,Tây - Nam,Đông - Bắc,2,2
Resco Cổ Nhuế,,,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,58,1.8,Bắc,Nam,2,1
Hà Nội Center Point,27,,Lê Văn Lương,Nhân Chính,Thanh Xuân,85,4.25,,Đông - Nam,3,2
N01-T1 Ngoại Giao Đoàn,,,,Xuân Đỉnh,Bắc Từ Liêm,133,6,Nam,Bắc,4,
Bình Minh Garden,,,Đức Giang,Đức Giang,Long Biên,75,2.6,Tây - Bắc,Đông - Nam,2,2
KĐT Xa La,,,Phùng Hưng,Phúc La,Hà Đông,67,1.55,Đông - Nam,Tây - Bắc,2,2
Moonlight 1 - An Lạc Green Symphony,,,,An Khánh,Hoài Đức,66,2.31,,,2,2
HC Golden City,,,Hồng Tiến,Bồ Đề,Long Biên,82,3.6,Tây - Bắc,Đông - Bắc,3,2
Dreamland Bonanza,,,Duy Tân,Mỹ Đình 2,Nam Từ Liêm,92,4.9,Bắc,Nam,3,2
,,,Hồng Hà,Chương Dương Độ,Hoàn Kiếm,90,2.6,,,,
xpHOMES,,,Quốc lộ 32,Tân Lập,Đan Phượng,80,1.6,Tây - Bắc,Đông - Nam,2,2
Summit Building,,,Trần Duy Hưng,Trung Hòa,Cầu Giấy,101.2,5.46,,,,
Indochina Plaza,241,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,116,5.5,,,3,2
Sun Square,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,112,3.9,,Nam,3,
Goldmark City,136,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,170,5.1,,Đông - Bắc,4,3
Trung Yên I,,,Trung Kính,Yên Hòa,Cầu Giấy,105,3.55,,,2,2
Epic Tower,,,Duy Tân,Dịch Vọng Hậu,Cầu Giấy,70,6,,,,
xpHOMES,,,Quốc lộ 32,Tân Lập,Đan Phượng,60,1.5,Đông - Nam,Đông - Nam,2,2
,,,Thái Hà,Trung Liệt,Đống Đa,62,0.85,,,3,2
Bình Minh Garden,,,Đức Giang,Đức Giang,Long Biên,74,2.3,,Tây - Nam,2,2
Ciputra Hà Nội,,,Lạc Long Quân,Phú Thượng,Tây Hồ,118,4.15,,Tây - Nam,3,
The Zei Mỹ Đình,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,108,6.1,Tây - Bắc,Đông - Nam,3,2
Vinhomes D'Capitale,,,Trần Duy Hưng,Trung Hòa,Cầu Giấy,95,6.1,,Đông - Nam,3,2
Hà Nội Homeland,,,,Thượng Thanh,Long Biên,69,2.55,Đông - Nam,,2,2
Berriver Long Biên,,,Nguyễn Văn Cừ,Bồ Đề,Long Biên,71,2.8,,Tây - Nam,2,
Hà Nội Homeland,,,,Thượng Thanh,Long Biên,60,2.15,,,2,
Viễn Đông Star,,,Giáp Nhị,Thịnh Liệt,Hoàng Mai,85,2.6,Đông - Nam,Tây - Bắc,2,2
FLC Complex Phạm Hùng,,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,131,4.6,Tây - Nam,Đông - Bắc,3,2
The Garden Hills - 99 Trần Bình,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,84,2.8,Tây - Bắc,Đông - Nam,2,2
C14 - Bộ Công An,,,Tố Hữu,Trung Văn,Nam Từ Liêm,134,3.8,,,3,
Grand Sunlake,,,Trần Phú,Văn Quán,Hà Đông,90,3,,,,
,,,Nguyên Hồng,Thành Công,Ba Đình,34.1,2.15,,,,
Goldmark City,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,110,4.1,,Đông - Nam,3,2
Việt Hưng,,,,Đức Giang,Long Biên,126,2.9,,,3,
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,53.5,1.45,Đông - Nam,Đông - Nam,2,1
,,,Thái Hà,Trung Liệt,Đống Đa,65,1.73,,,2,1
The Matrix One,,,Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,114,6.7,Đông - Bắc,Tây - Nam,3,
Florence Mỹ Đình,,,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,75,3.2,Tây - Bắc,Đông - Nam,2,2
Làng Quốc tế Thăng Long,72,,Trần Đăng Ninh,Dịch Vọng,Cầu Giấy,169.9,7,,,3,2
Làng Quốc tế Thăng Long,,,Trần Đăng Ninh,Dịch Vọng,Cầu Giấy,100,4.1,Đông - Bắc,Tây - Nam,3,2
Mipec Rubik 360,124,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,82,4.25,,,2,
Masteri West Heights,,,,,Nam Từ Liêm,43,2.3,Tây - Nam,Đông - Bắc,1,1
,,,Hoàng Quốc Việt,Nghĩa Đô,Cầu Giấy,52,1.2,,,2,1
Tabudec Plaza,,,Phan Trọng Tuệ,Tả Thanh Oai,Thanh Trì,74,1.85,Đông - Nam,Tây - Bắc,2,2
Nhà ở cho CBCS Bộ Công an,43,,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,122,4.85,,,3,2
Phương Đông Green Home,,,,Đức Giang,Long Biên,46,1.6,Tây,Đông,2,1
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,54,2.15,Đông - Bắc,Tây - Nam,2,1
Ciputra Hà Nội,,,Nguyễn Hoàng Tôn,Phú Thượng,Tây Hồ,123,4.3,,,3,2
Khu đô thị Kim Hoa,,,Ngô Miễn,Kim Hoa,Mê Linh,62,0.9,,,2,1
Golden Palace,199,,Mễ Trì,Mễ Trì,Nam Từ Liêm,86,2.9,,,2,2
Nhà ở cho CBCS Bộ Công an,43,,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,70,2.65,,,2,
Green Stars,234,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,66.8,2.5,Đông - Bắc,Tây - Nam,2,2
An Bình City,,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,112,5,,,3,
The Zen Residence,,,Pháp Vân,Yên Sở,Hoàng Mai,99,4.2,,,3,
The Tonkin - Vinhomes Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,90,3.4,Đông - Nam,Tây - Bắc,3,2
An Bình City,,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,90,4,,,,
Vinhomes D'Capitale,,,Trần Duy Hưng,Trung Hòa,Cầu Giấy,70,4.2,,,2,2
Vinhomes D'Capitale,,,Trần Duy Hưng,Trung Hòa,Cầu Giấy,110,6.5,,,3,2
Mỹ Đình I,,,Hàm Nghi,Mỹ Đình 1,Nam Từ Liêm,126,3.3,Bắc,Nam,3,2
Green Stars,,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,102,4.2,,,3,
Khu Ngoại Giao Đoàn,,,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,110,4.73,,,3,
,,,Thành Công,Thành Công,Ba Đình,75,2.25,,,3,2
Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,43.3,1.7,Tây - Bắc,Đông - Nam,1,1
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,51.8,2.1,,,2,1
The Matrix One,,,Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,88,4.9,Đông,Đông,2,2
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,58,2.2,,,2,1
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,58.2,2.65,,,2,
PHC Complex 158 Nguyễn Sơn,,,Nguyễn Sơn,Bồ Đề,Long Biên,75.39,3.24,,,2,2
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,54,2.7,,Nam,2,1
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,69.1,3.6,,,2,2
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,28,1.25,,,,
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,30,1.245,,,1,1
Florence Mỹ Đình,,,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,82.3,3.2,Tây - Nam,Đông - Bắc,2,2
Goldmark City,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,170,5.1,,Đông - Nam,4,3
Phương Đông Green Home,,,,Đức Giang,Long Biên,45,1.62,Tây - Nam,Tây - Nam,2,1
Sun Grand City,69B,,Thụy Khuê,Thụy Khuê,Tây Hồ,123,9.9,,,3,2
Ciputra Hà Nội,,,Lạc Long Quân,Phú Thượng,Tây Hồ,118,4.2,Tây - Bắc,Đông - Nam,3,2
Tràng An Complex,,,Phùng Chí Kiên,Nghĩa Đô,Cầu Giấy,93,4.7,,,3,2
Bình Minh Garden,,,Đức Giang,Đức Giang,Long Biên,104,3.3,,,3,2
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,28,1.2,,,1,1
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,70,3.5,,Tây - Nam,2,
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,32,0.89,,,1,1
Ecolife Tây Hồ,,,Nguyễn Văn Huyên,Xuân La,Tây Hồ,108.9,4.36,,,,
Ecolife Tây Hồ,,,,Xuân La,Tây Hồ,88.8,4.1,,,,
Sunshine City,,,Võ Chí Công,Đông Ngạc,Bắc Từ Liêm,98,5,,,,
Imperia Garden,,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,69,3.2,Đông - Nam,Đông - Nam,2,2
Hapulico Complex,,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,109,4.2,Tây - Nam,Đông - Bắc,3,2
Sunshine Riverside,,,,Phú Thượng,Tây Hồ,80.74,3.4,Nam,Bắc,2,2
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,88,3.7,Tây - Bắc,Đông - Nam,3,2
CT36 - Dream Home,,,Nguyễn Cảnh Dị,Định Công,Hoàng Mai,104,3.25,Tây,Đông,3,2
The K Park,,,Lê Trọng Tấn,Phúc La,Hà Đông,93,3.3,Tây - Nam,Đông - Bắc,3,2
Golden Palace,,,Mễ Trì,Mễ Trì,Nam Từ Liêm,85.6,3.1,,,2,
A10-A14 Nam Trung Yên,,,,Yên Hòa,Cầu Giấy,55,2.09,,,2,1
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,80,3.15,Đông - Nam,Tây - Bắc,3,2
Eco Lake View,,,Đại Từ,Đại Kim,Hoàng Mai,69,2.07,,,2,2
Dreamland Bonanza,,,Duy Tân,Mỹ Đình 2,Nam Từ Liêm,97,4.79,Tây - Bắc,Đông - Nam,3,2
Xuân Mai Tower - CT2 Tô Hiệu,,,Tô Hiệu,Hà Cầu,Hà Đông,117,3,,,3,
Nam Trung Yên,,,Nguyễn Chánh,Trung Hòa,Cầu Giấy,65,2.2,,,2,2
Ciputra Hà Nội,,,Nguyễn Hoàng Tôn,Phú Thượng,Tây Hồ,180,5.4,Tây - Nam,Đông - Nam,3,3
Chung cư Đại Thanh,,,Phan Trọng Tuệ,Tả Thanh Oai,Thanh Trì,60,1.3,Đông - Nam,,2,
Làng Quốc tế Thăng Long,72,,Trần Đăng Ninh,Dịch Vọng,Cầu Giấy,170,6.9,,,3,
Eco Green City,,,Nguyễn Xiển,Tân Triều,Thanh Trì,75,2.81,Đông - Bắc,Tây - Nam,2,2
Sunshine Center,16,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,131,6,,,4,2
Mipec Rubik 360,,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,110,6.1,,Đông - Nam,3,
The Emerald,,,Đình Thôn,Mỹ Đình 1,Nam Từ Liêm,102,4,Tây - Bắc,Đông - Nam,3,2
Eco City Việt Hưng,,,,Giang Biên,Long Biên,63,2.2,,Đông - Bắc,2,2
Home City - Trung Kính Complex,177,,Trung Kính,Yên Hòa,Cầu Giấy,71,2.9,,Đông - Nam,2,
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,62,3.3,Tây - Nam,Đông - Bắc,2,2
Iris Garden,30,,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,133,3.9,Tây - Bắc,Đông - Nam,3,2
The Zei Mỹ Đình,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,214,11,Tây - Nam,Đông - Bắc,4,3
Sky Central,176,,Định Công,Định Công,Hoàng Mai,64.7,2.59,,,2,2
La Casta Văn Phú,,,Lê Trọng Tấn,Phú La,Hà Đông,88,3.2,,,2,
Vinhomes Ocean Park Gia Lâm,,,An Đào,Dương Xá,Gia Lâm,70,1.9,Đông - Nam,Tây - Bắc,2,2
Eco City Việt Hưng,,,,Giang Biên,Long Biên,65,2.1,Tây - Nam,Đông - Bắc,2,2
Tháp doanh nhân Tower,1,,Thanh Bình,Mỗ Lao,Hà Đông,50,1.228,,,1,
Ngõ 65,,,Vạn Bảo,Liễu Giai,Ba Đình,80,3.75,Nam,,2,2
Canal Park,,,,Thạch Bàn,Long Biên,128,3.1,,,4,
Eco Lake View,32,,Đại Từ,Đại Kim,Hoàng Mai,105,3.7,,,3,2
HC Golden City,,,Hồng Tiến,Bồ Đề,Long Biên,102,5,Tây - Nam,Đông - Nam,3,2
Helios Tower 75 Tam Trinh,,,Tam Trinh,Mai Động,Hoàng Mai,65,2.6,,,2,2
The Park Home,,,Thành Thái,Dịch Vọng,Cầu Giấy,110,6.35,,,3,
The Link 345-CT1,,,,Đông Ngạc,Bắc Từ Liêm,107,5.2,,,3,2
HC Golden City,319,,Hồng Tiến,Bồ Đề,Long Biên,87.3,4.178,Đông - Bắc,Tây - Nam,3,2
Hoàng Thành Pearl,55,,Nguyễn Văn Giáp,Cầu Diễn,Nam Từ Liêm,107.94,5.216,Đông - Bắc,Tây - Nam,3,2
Chung cư Viện 103,,,Yên Xá,Tân Triều,Thanh Trì,118,2.7,Đông - Nam,Tây - Nam,3,2
Mandarin Garden 2,,,Trương Định,Tân Mai,Hoàng Mai,92,4.5,,,3,2
Eco Green City,,,Nguyễn Xiển,Tân Triều,Thanh Trì,55,2,,,,
VOV Mễ Trì,,,Lương Thế Vinh,Mễ Trì,Nam Từ Liêm,74,2.3,Tây - Nam,,2,1
Eco City Việt Hưng,,,,Giang Biên,Long Biên,63.6,2.2,Đông - Nam,,2,2
Sudico Mỹ Đình,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,200,4.8,,,4,3
Khai Sơn City,,,,Ngọc Thụy,Long Biên,77.51,2.9,Tây - Bắc,Đông - Nam,2,2
Eurowindow River Park,,,5,Đông Hội,Đông Anh,82,2.3,Tây - Bắc,Đông - Nam,3,2
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,43.3,1.9,Tây - Nam,Đông - Bắc,2,1
Epic Tower,,,Duy Tân,Dịch Vọng Hậu,Cầu Giấy,95,8,,,,
Vinhomes D'Capitale,,,Trần Duy Hưng,Trung Hòa,Cầu Giấy,33.5,2,,,1,1
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,47,1.2,,,1,
The Garden Hills - 99 Trần Bình,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,68,2.6,,Đông - Bắc,2,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,68,1.65,,,2,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,60,1.56,,,2,1
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,31,0.88,,,1,1
HH4 Linh Đàm,,,Linh Đường,Hoàng Liệt,Hoàng Mai,65,1.58,Tây - Bắc,Đông - Nam,,
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,80,2.3,,,3,2
Golden Palace,99,,Mễ Trì,Mễ Trì,Nam Từ Liêm,85,2.8,Nam,,2,2
Thống Nhất Complex,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,122.5,6,Tây - Bắc,Đông - Nam,3,2
Dolphin Plaza,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,198,7.13,,,4,2
Thăng Long Number One,,,,Trung Hòa,Cầu Giấy,87,3.9,Đông - Nam,Tây - Bắc,3,2
Chung cư Đại Thanh,,,Phan Trọng Tuệ,Tả Thanh Oai,Thanh Trì,77,1.74,,,2,
Golden Field Mỹ Đình,,,,Cầu Diễn,Nam Từ Liêm,65,2.6,,,2,
Ecolife Capitol,,,Tố Hữu,Trung Văn,Nam Từ Liêm,75,3,,,,
Eco Green City,286,,Nguyễn Xiển,Tân Triều,Thanh Trì,67,2.5,,,2,2
Chelsea Park,,,Trung Kính,Yên Hòa,Cầu Giấy,100,4.3,,,2,2
La Casta Văn Phú,,,Lê Trọng Tấn,Phú La,Hà Đông,117,4.8,,,3,
Khu Nhà ở KD Dịch Vọng,,,,Dịch Vọng,Cầu Giấy,79,3.25,Đông - Nam,Tây - Bắc,2,2
The Golden Palm Lê Văn Lương,21,,Lê Văn Lương,Nhân Chính,Thanh Xuân,66,3,,,,
